module,value,count
Init.Data.String.Basic,1626,1
Init.Data.String.Basic,1651,1
Init.Data.String.Basic,2370,1
Init.Data.String.Basic,2394,1
Init.Data.String.Basic,2412,1
Init.Data.Hashable,0,2
Init.Data.Hashable,1,1
Init.Data.Hashable,2,2
Init.Data.Hashable,7,2
Init.Data.Hashable,11,4
Init.Data.Hashable,13,2
Init.Data.Float,0,5
Init.Data.Float,1,2
Init.Data.Float32,0,4
Init.Data.Float32,1,1
Init.Data.OfScientific,0,3
Init.Data.OfScientific,63,2
Init.Data.Rat.Basic,0,97
Init.Data.Rat.Basic,1,44
Init.Data.Rat.Basic,10,2
Init.Data.Rat.Basic,70,2
Init.Data.Rat.Basic,71,1
Init.Data.Rat.Lemmas,0,244
Init.Data.Rat.Lemmas,1,56
Init.Data.Rat.Lemmas,10,7
Init.Grind.Ring.OfScientific,10,16
Init.Grind.Norm,0,7
Init.Grind.Norm,1,7
Init.Grind.Util,0,10
Init.Grind.Util,1,18
Init.Grind.Util,2,4
Init.Grind.Lemmas,0,4
Init.Grind.Lemmas,1,2
Init.Grind.Propagator,0,2
Init.Grind.Propagator,1022,3
Init.Grind.Offset,0,5
Init.Grind.Offset,1,4
Init.Grind.PP,0,4
Init.Grind.PP,1,5
Init.Grind.Ordered.Module,0,37
Init.Grind.Ordered.Ring,0,83
Init.Grind.Ordered.Ring,1,11
Init.Grind.Ordered.Ring,2,2
Init.Grind.Ring.Envelope,0,27
Init.Grind.Ring.Envelope,1,11
Init.GrindInstances.Ring.Int,0,1
Init.Grind.Ring.CommSolver,0,388
Init.Grind.Ring.CommSolver,1,191
Init.Grind.Ring.CommSolver,2,29
Init.Grind.Ring.CommSolver,3,13
Init.Grind.Ring.CommSolver,4,14
Init.Grind.Ring.CommSolver,5,15
Init.Grind.Ring.CommSolver,6,13
Init.Grind.Ring.CommSolver,7,13
Init.Grind.Ring.CommSolver,8,13
Init.Grind.Ring.CommSolver,9,1
Init.Grind.Ring.CommSolver,15,1
Init.Grind.Ring.CommSolver,16,1
Init.Grind.Ring.CommSolver,32,1
Init.Grind.Ring.CommSolver,64,1
Init.Grind.Ring.CommSolver,128,1
Init.Grind.Ring.CommSolver,256,1
Init.Grind.Ring.CommSolver,1024,36
Init.Grind.Ring.CommSolver,1000000,1
Init.Grind.Ring.CommSemiringAdapter,0,83
Init.Grind.Ring.CommSemiringAdapter,9,1
Init.Grind.Ring.ToInt,0,16
Init.Grind.Ring.ToInt,1,49
Init.Grind.Module.Envelope,0,8
Init.Grind.Module.Envelope,1,1
Init.Grind.Ordered.Linarith,0,151
Init.Grind.Ordered.Linarith,1,81
Init.Grind.Ordered.Linarith,2,24
Init.Grind.Ordered.Linarith,3,12
Init.Grind.Ordered.Linarith,4,13
Init.Grind.Ordered.Linarith,5,12
Init.Grind.Ordered.Linarith,6,11
Init.Grind.Ordered.Linarith,8,1
Init.Grind.Ordered.Linarith,16,1
Init.Grind.Ordered.Linarith,32,1
Init.Grind.Ordered.Linarith,64,1
Init.Grind.Ordered.Linarith,1024,26
Init.Grind.Module.NatModuleNorm,0,39
Init.Grind.Module.NatModuleNorm,1,3
Init.Grind.Ordered.Field,0,25
Init.GrindInstances.Ring.Rat,0,1
Init.Grind.ToIntLemmas,0,7
Init.Grind.ToIntLemmas,1,6
Init.Data.SInt.Basic,0,22
Init.Data.SInt.Basic,1,18
Init.Data.SInt.Basic,2,3
Init.Data.SInt.Basic,8,69
Init.Data.SInt.Basic,16,69
Init.Data.SInt.Basic,32,69
Init.Data.SInt.Basic,64,69
Init.Data.SInt.Basic,127,1
Init.Data.SInt.Basic,128,1
Init.Data.SInt.Basic,256,1
Init.Data.SInt.Basic,32767,1
Init.Data.SInt.Basic,32768,1
Init.Data.SInt.Basic,65536,1
Init.Data.SInt.Basic,2147483647,1
Init.Data.SInt.Basic,2147483648,1
Init.Data.SInt.Basic,4294967296,1
Init.Data.SInt.Basic,9223372036854775807,1
Init.Data.SInt.Basic,9223372036854775808,1
Init.Data.SInt.Basic,18446744073709551616,1
Init.Data.SInt.Lemmas,0,312
Init.Data.SInt.Lemmas,1,186
Init.Data.SInt.Lemmas,2,219
Init.Data.SInt.Lemmas,7,22
